nome_usuario;idade_usuario;email_usuario
"Jackson Cohen";20;non.bibendum@Aliquamauctorvelit.com
"Solomon Randall";21;aliquet.odio.Etiam@ut.co.uk
"Tiger Hanson";22;tincidunt.nunc.ac@dui.org
"Porter Nelson";24;Nullam@pede.ca
"Victor Gomez";25;gravida.nunc.sed@Namligula.com
"Omar Kane";25;nonummy.ultricies.ornare@odioPhasellusat.edu
"Davis Cross";26;nulla.Integer@molestiepharetranibh.net
"Chaney Jensen";26;risus@odio.edu
"Herrod Woodard";27;vitae.aliquet@nostraper.edu
"Keith Reese";27;eu.metus@Duisac.co.uk
"Colt Rowe";27;molestie.tellus.Aenean@ornarelectus.co.uk
"Macon Holden";28;morbi.tristique@Proin.com
"Igor Hooper";29;Nulla.facilisis.Suspendisse@sagittislobortis.ca
"Chandler Cantrell";29;augue.id@ullamcorpernislarcu.com
"Darius Shepard";31;auctor.non.feugiat@porttitorinterdum.org
"Ali Hancock";32;luctus@torquent.ca
"Darius Townsend";33;nec.tempus.scelerisque@etultrices.ca
"Samson Dodson";33;ut@Phasellusinfelis.com
"Brendan York";34;Cum.sociis.natoque@eget.com
"Fernadno Eidi Aoki";34;feaoki@gmail.com
"Hoyt Fitzgerald";36;Proin.dolor@Donec.edu
"Slade Leonard";37;Phasellus@enim.com
"Ali Flynn";37;a@faucibusMorbi.org
"Chancellor Acevedo";37;Nullam.enim.Sed@eueratsemper.com
"Hashim Odonnell";38;a.sollicitudin.orci@seddolorFusce.org
"Julian Patel";38;aliquet.Proin@tristique.org
"Rigel Rhodes";39;sociis@Fuscealiquamenim.edu
"Cullen Livingston";43;Mauris@non.com
"Chadwick Collins";45;faucibus.Morbi.vehicula@elementum.edu
"Wing Meyer";45;ac.facilisis.facilisis@Nuncpulvinararcu.org
"Tiger Cherry";46;vel.pede.blandit@dignissimMaecenas.co.uk
"Guy Osborn";46;scelerisque@eteuismod.ca
"Kirk Fisher";48;dapibus.quam.quis@nonummyacfeugiat.co.uk
"Tyrone Kelley";48;justo@habitant.com
"Quinlan Slater";49;natoque.penatibus.et@sedest.ca
"Steven Williamson";50;enim@ultrices.net
